County,incident_acres_burned,Date
Butte,6033,7/7/2017
Butte,6151,10/9/2017
Butte,8417,10/8/2017
Butte,153336,11/8/2018
Amador; El Dorado,4240,7/25/2014
Amador,10,8/28/2017
Amador,10,9/25/2019
Amador,17,6/17/2018
Amador,26,8/5/2016
Amador,45,9/23/2016
Amador,48,9/30/2020
Amador,60,6/16/2015
Amador,96,6/12/2013
Amador,210,6/17/2016
Amador,372,6/28/2016
Amador,825,7/6/2018
Alpine,0,6/19/2015
Alpine,0,8/18/2016
Alameda,11,9/2/2019
Alameda,12,5/14/2018
Alameda,12,10/8/2019
Alameda,19,8/31/2019
Alameda,20,6/17/2018
Alameda,20,11/14/2018
Alameda,22,9/26/2017
Alameda,22,7/12/2019
Alameda,25,7/5/2019
Alameda,30,8/4/2018
Alameda,30,6/21/2019
Alameda,34,7/25/2018
Alameda,35,10/24/2019
Alameda,38,7/6/2013
Alameda,44,8/27/2017
Alameda,48,8/26/2018
Alameda,50,7/4/2013
Alameda,108,7/4/2020
Alameda,116,10/17/2017
Alameda,139,8/21/2019
Alameda,155,9/19/2017
Alameda,200,8/22/2017
Alameda,211,6/25/2016
Alameda,240,6/8/2013
Alameda,240,8/9/2019
Alameda,253,7/16/2020
Alameda,484,5/30/2018
Alameda,640,7/8/2018
Alameda,2700,8/19/2015
