"STATION","NAME","DATE","TAVG","TMAX"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-13","57","75"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-14","58","77"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-15","59","75"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-16","58","75"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-17","58","76"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-18","61","77"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-19","62","77"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-20","61","73"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-21","54","69"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-22","57","75"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-23","57","75"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-24","56","75"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-25","52","64"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-26","44","51"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-27","44","59"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-28","51","70"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-29","60","80"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-06-30","62","80"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-01","66","85"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-02","67","83"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-03","65","75"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-04","65","82"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-05","69","82"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-06","68","84"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-07","69","82"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-08","68","80"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-09","65","79"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-10","63","75"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-11","63","75"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-12","63","78"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-13","67","81"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-14","62","76"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-15","62","77"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-16","61","76"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-17","60","76"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-18","62","77"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-19","64","82"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-20","65","84"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-21","68","83"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-22","67","85"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-23","71","88"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-24","71","88"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-25","71","85"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-26","69","81"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-27","65","77"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-28","65","79"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-29","66","82"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-30","65","84"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-07-31","69","86"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-01","65","83"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-02","65","79"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-03","61","74"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-04","60","76"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-05","59","76"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-06","63","80"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-07","64","82"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-08","66","82"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-09","67","85"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-08-10","68","85"
