"STATION","NAME","DATE","TAVG","TMAX"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-10","84","101"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-11","79","95"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-12","79","96"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-13","78","96"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-14","80","97"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-15","80","95"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-16","81","96"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-17","80","99"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-18","81","100"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-19","85","103"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-20","82","97"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-21","73","89"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-22","76","95"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-23","78","95"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-24","71","90"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-25","74","92"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-26","66","75"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-27","65","82"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-28","71","91"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-29","86","101"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-30","83","106"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-01","88","108"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-02","92","106"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-03","86","103"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-04","88","105"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-05","88","105"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-06","91","106"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-07","87","101"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-08","88","102"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-09","84","96"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-10","85","99"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-11","88","103"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-12","87","106"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-13","89","103"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-14","86","98"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-15","83","98"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-16","82","95"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-17","82","96"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-18","84","101"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-19","86","101"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-20","87","104"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-21","89","104"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-22","89","108"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-23","91","110"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-24","91","110"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-25","90","105"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-26","86","101"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-27","84","100"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-28","86","102"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-29","89","105"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-30","93","111"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-31","92","110"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-01","88","106"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-02","86","99"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-03","82","96"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-04","80","96"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-05","79","94"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-06","79","99"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-07","83","103"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-08","85","103"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-09","90","106"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-10","91","106"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-11","91","106"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-12","90","106"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-13","90","106"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-14","91","110"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-15","88","107"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-16","87","104"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-17","85","102"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-18","82","96"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-19","80","96"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-20","79","99"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-21","82","103"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-22","85","103"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-23","85","99"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-24","83","100"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-25","86","106"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-26","86","101"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-27","85","98"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-28","87","103"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-29","89","109"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-30","89","108"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-08-31","89","106"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-01","87","105"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-02","84","98"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-03","85","97"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-04","81","95"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-05","79","94"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-06","80","95"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-07","80","94"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-08","81","98"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-09","83","101"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-10","82","101"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-11","80","97"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-12","79","93"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-13","68","79"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-14","69","87"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-15","70","84"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-16","69","86"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-17","73","88"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-18","67","84"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-19","71","92"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-20","76","93"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-21","78","92"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-22","75","88"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-23","76","92"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-24","77","91"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-25","79","96"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-26","73","92"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-27","69","89"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-28","71","93"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-29","75","97"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-09-30","76","95"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-01","71","88"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-02","69","88"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-03","73","94"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-04","74","92"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-05","75","96"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-06","77","100"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-07","77","97"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-08","79","102"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-09","80","99"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-10","76","97"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-11","74","93"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-12","71","94"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-13","72","93"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-14","70","90"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-15","74","90"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-16","69","91"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-17","62","81"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-18","67","85"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-19","61","77"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-20","53","65"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-21","49","59"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-22","48","68"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-23","52","72"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-24","59","75"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-25","56","72"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-26","51","60"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-27","46","57"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-28","46","66"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-29","49","62"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-30","46","67"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-10-31","48","63"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-01","51","63"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-02","55","70"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-03","56","76"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-04","55","73"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-05","54","70"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-06","51","64"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-07","52","68"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-08","55","78"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-09","58","82"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-10","60","84"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-11","61","85"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-12","61","86"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-13","63","86"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-14","58","70"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-15","51","63"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-16","49","63"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-17","55","69"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-18","59","78"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-19","59","83"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-20","62","87"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-21","62","74"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-22","56","67"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-23","54","67"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-24","52","72"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-25","52","69"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-26","54","61"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-27","49","58"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-28","51","67"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-29","46","56"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-11-30","44","59"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-01","49","65"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-02","42","60"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-03","40","63"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-04","48","64"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-05","52","63"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-06","53","66"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-07","50","73"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-08","53","73"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-09","52","64"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-10","50","59"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-11","53","67"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-12","55","72"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-13","48","70"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-14","49","57"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-15","38","41"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-16","45","55"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-17","53","55"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-18","52","52"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-19","44","60"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-20","46","65"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-21","49","54"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-23","48","61"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-24","44","63"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-25","45","68"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-26","46","51"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-27","51","65"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-28","49","63"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-29","48","65"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-30","54","63"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-12-31","55","67"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-01","56","74"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-02","61","76"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-03","55","70"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-04","46","59"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-05","46","56"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-06","38","43"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-07","43","55"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-08","45","60"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-09","47","69"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-10","49","72"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-11","48","68"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-12","41","52"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-13","41","49"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-14","40","52"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-15","37","49"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-16","38","46"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-17","45","58"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-18","46","64"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-19","46","66"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-20","48","60"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-21","46","66"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-22","47","54"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-23","50","60"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-24","49","72"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-25","53","66"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-26","51","62"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-27","48","65"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-28","52","70"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-29","55","63"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-30","52","67"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-01-31","54","74"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-02-01","55","74"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-02-02","53","71"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-02-03","50","72"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-02-04","50","74"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1997-02-05","47","62"
